Order Date,Order Number,Order #
12/28/2020,"24,375,360","1,100,000,024,375,360"
3/24/2021,"28,912,440","1,100,000,028,912,440"
3/24/2021,"28,912,390","1,100,000,028,912,390"
4/29/2021,"30,517,580","1,100,000,030,517,580"
6/4/2021,"31,532,740","1,100,000,031,532,740"
7/4/2021,"32,747,970","1,100,000,032,747,970"
7/4/2021,"32,746,870","1,100,000,032,746,870"
7/5/2021,"32,781,260","1,100,000,032,781,260"
7/6/2021,"32,808,580","1,100,000,032,808,580"
7/8/2021,"32,883,850","1,100,000,032,883,850"
7/9/2021,"32,924,520","1,100,000,032,924,520"
7/21/2021,"33,353,170","1,100,000,033,353,170"
7/23/2021,"33,248,070","1,100,000,033,248,070"
7/29/2021,"33,606,710","1,100,000,033,606,710"
7/29/2021,"33,611,950","1,100,000,033,611,950"
8/2/2021,"33,706,650","1,100,000,033,706,650"
8/5/2021,"33,895,310","1,100,000,033,895,310"
8/9/2021,"34,027,280","1,100,000,034,027,280"
8/20/2021,"34,423,180","1,100,000,034,423,180"
9/1/2021,"35,008,110","1,100,000,035,008,110"
9/4/2021,"35,121,960","1,100,000,035,121,960"
9/17/2021,"35,662,060","1,100,000,035,662,060"
9/18/2021,"35,688,700","1,100,000,035,688,700"
9/23/2021,"35,856,360","1,100,000,035,856,360"
9/26/2021,"35,949,780","1,100,000,035,949,780"
9/28/2021,"36,107,550","1,100,000,036,107,550"
9/30/2021,"36,150,410","1,100,000,036,150,410"
10/1/2021,"36,200,000","1,100,000,036,200,000"
10/2/2021,"36,258,530","1,100,000,036,258,530"
10/8/2021,"36,557,320","1,100,000,036,557,320"
10/8/2021,"36,558,510","1,100,000,036,558,510"
10/10/2021,"36,660,856","1,100,000,036,660,856"
10/12/2021,"36,753,018","1,100,000,036,753,018"
